priority,score,detected_first,place_id,name,formatted_address,ward,rating,user_rating_count,business_status,google_maps_uri
B,55.17,2026-02-23,ChIxn6e32vuDtIhNjUqehYU9Ld6,Haru Studio Kichijoji,東京都文京区小石川一丁目1-1-9 グリーンハイツ,文京区,4.3,2,OPERATIONAL,https://www.google.com/maps/search/?api=1&query_place_id=ChIxn6e32vuDtIhNjUqehYU9Ld6
B,55.09,2026-02-25,ChIrc3NF5GIwHluYW9bUyIPRpFP,Haru Room,東京都足立区西新井一丁目1-1-9 グリーンハイツ,足立区,4.0,4,OPERATIONAL,https://www.google.com/maps/search/?api=1&query_place_id=ChIrc3NF5GIwHluYW9bUyIPRpFP
B,54.96,2026-02-24,ChIXi0wCwuciNbGv1pwPT3CcQW3,moi Works Tokyo,東京都新宿区新宿二丁目4-2-6 ルミエール,新宿区,4.1,4,OPERATIONAL,https://www.google.com/maps/search/?api=1&query_place_id=ChIXi0wCwuciNbGv1pwPT3CcQW3
B,53.35,2026-02-22,ChIT2rmzHykyCWibqXEgpVA2a0f,moi Lounge Kichijoji,東京都足立区北千住5-1-2 ルミエール,足立区,3.9,12,OPERATIONAL,https://www.google.com/maps/search/?api=1&query_place_id=ChIT2rmzHykyCWibqXEgpVA2a0f
B,53.17,2026-02-13,ChII3dLDQYUNdUVw4YRw81aQ1Fe,Lumi Salon Kichijoji,東京都渋谷区渋谷5-1-2 サンライトビル,渋谷区,4.2,29,OPERATIONAL,https://www.google.com/maps/search/?api=1&query_place_id=ChII3dLDQYUNdUVw4YRw81aQ1Fe
B,53.16,2026-02-24,ChImDTqvqvLHAtIsAKf8Whhy0uQ,Rin Studio Ginza,東京都港区芝1-1-9 グリーンハイツ,港区,4.1,1,OPERATIONAL,https://www.google.com/maps/search/?api=1&query_place_id=ChImDTqvqvLHAtIsAKf8Whhy0uQ
B,52.78,2026-02-21,ChIQxQtcNnSs6fMHI2EcL5tcFzr,Sora Studio Tokyo,東京都豊島区目白三丁目4-2-6 〇〇ビル,豊島区,4.4,1,OPERATIONAL,https://www.google.com/maps/search/?api=1&query_place_id=ChIQxQtcNnSs6fMHI2EcL5tcFzr
B,52.56,2026-02-24,ChIG7VSdpihf48I2gdRMzHVKudp,Nalu Beauty,東京都中央区銀座二丁目4-2-6 グリーンハイツ,中央区,4.1,0,OPERATIONAL,https://www.google.com/maps/search/?api=1&query_place_id=ChIG7VSdpihf48I2gdRMzHVKudp
B,52.44,2026-02-23,ChIF4DJKwnDrFRcqbfmcaRNwgHW,Nico HAIR Kagurazaka,東京都目黒区学芸大学二丁目4-2-6 グリーンハイツ,目黒区,4.2,0,OPERATIONAL,https://www.google.com/maps/search/?api=1&query_place_id=ChIF4DJKwnDrFRcqbfmcaRNwgHW
B,52.31,2026-02-22,ChIQiHdXrvrQlY0o8XGrOeBn48j,Sora Atelier Tokyo,東京都渋谷区代官山1-1-9 〇〇ビル,渋谷区,4.3,0,OPERATIONAL,https://www.google.com/maps/search/?api=1&query_place_id=ChIQiHdXrvrQlY0o8XGrOeBn48j
B,51.75,2026-02-25,ChIHaW3q8wb36uD9SmTWGkgNJqe,Aile HAIR Kichijoji,東京都板橋区大山四丁目3-7-1 コーポさくら,板橋区,3.9,1,OPERATIONAL,https://www.google.com/maps/search/?api=1&query_place_id=ChIHaW3q8wb36uD9SmTWGkgNJqe
B,51.42,2026-02-23,ChIKU2hcHrNtlfF5gczDdIgadkD,Haru Works Kagurazaka,東京都北区赤羽四丁目4-2-6 △△レジデンス,北区,3.9,6,OPERATIONAL,https://www.google.com/maps/search/?api=1&query_place_id=ChIKU2hcHrNtlfF5gczDdIgadkD
B,50.64,2026-02-21,ChIDZRM9H820dFqNpomBDyVPIyk,Aile HAIR Shibuya,東京都新宿区神楽坂四丁目5-1-2 □□タワー,新宿区,4.3,0,OPERATIONAL,https://www.google.com/maps/search/?api=1&query_place_id=ChIDZRM9H820dFqNpomBDyVPIyk
B,50.44,2026-02-20,ChIXnOO9IeJdvmXasj6ewizq0Nw,Aile HAIR Omotesando,東京都江戸川区葛西5-1-2 □□タワー,江戸川区,4.2,5,OPERATIONAL,https://www.google.com/maps/search/?api=1&query_place_id=ChIXnOO9IeJdvmXasj6ewizq0Nw
B,49.42,2026-02-20,ChIbsIeEOYFuzGGUX4TIYx0w3Ip,Rosa Beauty Tokyo,東京都千代田区神田二丁目1-2-3 ルミエール,千代田区,3.9,11,OPERATIONAL,https://www.google.com/maps/search/?api=1&query_place_id=ChIbsIeEOYFuzGGUX4TIYx0w3Ip
B,48.17,2026-02-17,ChItNZ6PjUxSYdipWTQXg4fdGzu,Kuu Studio Shibuya,東京都新宿区四谷一丁目5-1-2 グリーンハイツ,新宿区,4.3,7,OPERATIONAL,https://www.google.com/maps/search/?api=1&query_place_id=ChItNZ6PjUxSYdipWTQXg4fdGzu
B,47.62,2026-02-20,ChIQ60EBEM5pczIF521zVHC8dDK,Noa Lounge Ebisu,東京都葛飾区新小岩4-2-6 グリーンハイツ,葛飾区,3.9,8,OPERATIONAL,https://www.google.com/maps/search/?api=1&query_place_id=ChIQ60EBEM5pczIF521zVHC8dDK
B,47.28,2026-02-20,ChIVjwiYd7U3MsPkYO2xaCUvet6,Nico Lounge Ginza,東京都文京区小石川四丁目1-1-9 □□タワー,文京区,3.8,10,OPERATIONAL,https://www.google.com/maps/search/?api=1&query_place_id=ChIVjwiYd7U3MsPkYO2xaCUvet6
B,47.15,2026-02-19,ChIPOIvGrv5iFlbCBFNOgmBjMtp,Mimi Lounge Shibuya,東京都足立区北千住5-1-2 □□タワー,足立区,3.9,10,OPERATIONAL,https://www.google.com/maps/search/?api=1&query_place_id=ChIPOIvGrv5iFlbCBFNOgmBjMtp
B,46.16,2026-02-18,ChIu74kkePyezaMGGqbWbad3uDr,Rosa HAIR,東京都葛飾区金町一丁目4-2-6 △△レジデンス,葛飾区,4.1,6,OPERATIONAL,https://www.google.com/maps/search/?api=1&query_place_id=ChIu74kkePyezaMGGqbWbad3uDr
B,46.15,2026-02-22,ChINRwtzyEkGz3iLXUMdHQq3fh9,Rosa Studio Ebisu,東京都中野区東中野5-1-2 △△レジデンス,中野区,3.9,0,OPERATIONAL,https://www.google.com/maps/search/?api=1&query_place_id=ChINRwtzyEkGz3iLXUMdHQq3fh9
B,45.9,2026-02-20,ChI2mrycCIEPxpXXY8kCmJrc8XX,Kuu HAIR Ginza,東京都北区田端一丁目1-2-3 △△レジデンス,北区,4.1,0,OPERATIONAL,https://www.google.com/maps/search/?api=1&query_place_id=ChI2mrycCIEPxpXXY8kCmJrc8XX
B,45.17,2026-02-17,ChIHuMUHvi8wsLMNveRulwhmSG1,Aile Room Shibuya,東京都杉並区阿佐ヶ谷二丁目3-7-1 △△レジデンス,杉並区,4.3,2,OPERATIONAL,https://www.google.com/maps/search/?api=1&query_place_id=ChIHuMUHvi8wsLMNveRulwhmSG1
B,44.51,2026-02-13,ChIP935K0U7kuUMwKfgdf4TfBF8,Nico Works Shibuya,東京都中央区月島三丁目4-2-6 サンライトビル,中央区,4.3,12,OPERATIONAL,https://www.google.com/maps/search/?api=1&query_place_id=ChIP935K0U7kuUMwKfgdf4TfBF8
B,41.97,2026-02-16,ChIZB9UKz8nd1s6XFb2GPblZhFZ,Nalu Studio Shibuya,東京都江戸川区船堀三丁目3-7-1 〇〇ビル,江戸川区,4.2,2,OPERATIONAL,https://www.google.com/maps/search/?api=1&query_place_id=ChIZB9UKz8nd1s6XFb2GPblZhFZ
B,40.92,2026-02-09,ChIUNpfZ46pdJQIPvjiQvlb5lZX,Aile Beauty Omotesando,東京都品川区大井町一丁目4-2-6 コーポさくら,品川区,4.5,12,OPERATIONAL,https://www.google.com/maps/search/?api=1&query_place_id=ChIUNpfZ46pdJQIPvjiQvlb5lZX
B,39.97,2026-02-13,ChIusMtTZqpXc5hcHPOEVBljOlO,Lumi HAIR,東京都練馬区石神井一丁目4-2-6 ルミエール,練馬区,4.2,7,OPERATIONAL,https://www.google.com/maps/search/?api=1&query_place_id=ChIusMtTZqpXc5hcHPOEVBljOlO
B,39.71,2026-02-11,ChIwfG3AkSeecVL9DQ83eH0EZfE,Noa Salon Ginza,東京都中央区月島一丁目5-1-2 ルミエール,中央区,4.4,7,OPERATIONAL,https://www.google.com/maps/search/?api=1&query_place_id=ChIwfG3AkSeecVL9DQ83eH0EZfE
B,37.31,2026-02-13,ChIPQNVpF7c2XFiu1MDRYrmmC3E,Aile Atelier Omotesando,東京都中野区野方四丁目2-5-8 サンライトビル,中野区,4.3,0,OPERATIONAL,https://www.google.com/maps/search/?api=1&query_place_id=ChIPQNVpF7c2XFiu1MDRYrmmC3E
B,37.06,2026-02-09,ChILCPtcchhnKXX6SYaxVrmDyop,Sora HAIR Kichijoji,東京都大田区田園調布4-2-6 コーポさくら,大田区,4.6,3,OPERATIONAL,https://www.google.com/maps/search/?api=1&query_place_id=ChILCPtcchhnKXX6SYaxVrmDyop
B,36.43,2026-02-12,ChIedb0ulRU2P17FR4cPwdknqYV,Lumi Works Kichijoji,東京都足立区綾瀬四丁目4-2-6 ルミエール,足立区,4.0,9,OPERATIONAL,https://www.google.com/maps/search/?api=1&query_place_id=ChIedb0ulRU2P17FR4cPwdknqYV
B,36.38,2026-02-07,ChItSs3dErO7Qyyolqz7MbHiOpJ,Nalu Beauty Tokyo,東京都豊島区巣鴨2-5-8 □□タワー,豊島区,4.5,10,OPERATIONAL,https://www.google.com/maps/search/?api=1&query_place_id=ChItSs3dErO7Qyyolqz7MbHiOpJ
B,35.82,2026-02-14,ChIxhYc6cT3lbTknDn9vG8wNoNQ,Rosa HAIR Ginza,東京都中野区野方四丁目4-2-6 △△レジデンス,中野区,3.9,5,OPERATIONAL,https://www.google.com/maps/search/?api=1&query_place_id=ChIxhYc6cT3lbTknDn9vG8wNoNQ
B,34.98,2026-02-06,ChIqoGxlvwVICWiV0pL1xrdseoL,Rin HAIR Omotesando,東京都世田谷区下北沢二丁目2-5-8 コーポさくら,世田谷区,4.4,13,OPERATIONAL,https://www.google.com/maps/search/?api=1&query_place_id=ChIqoGxlvwVICWiV0pL1xrdseoL
B,34.76,2026-02-09,ChIqA5zd5SriKEc8WlTo9bsQd2T,Aile Lounge Omotesando,東京都江東区門前仲町二丁目1-1-9 □□タワー,江東区,4.1,12,OPERATIONAL,https://www.google.com/maps/search/?api=1&query_place_id=ChIqA5zd5SriKEc8WlTo9bsQd2T
B,34.57,2026-02-11,ChIJQMLmJwwpEL8xofdwkwlcr74,Noa Studio Kichijoji,東京都世田谷区三軒茶屋一丁目2-5-8 〇〇ビル,世田谷区,4.3,1,OPERATIONAL,https://www.google.com/maps/search/?api=1&query_place_id=ChIJQMLmJwwpEL8xofdwkwlcr74
B,34.33,2026-02-05,ChI57y3C5WNrPqGWxj43anvJ77P,Rin Beauty Ebisu,東京都中野区中野3-7-1 □□タワー,中野区,4.7,7,OPERATIONAL,https://www.google.com/maps/search/?api=1&query_place_id=ChI57y3C5WNrPqGWxj43anvJ77P
B,34.33,2026-02-05,ChIP4iIYdXq8vs8ialvuJ4apG1f,Noa Lounge Kagurazaka,東京都中央区月島三丁目1-2-3 〇〇ビル,中央区,4.7,7,OPERATIONAL,https://www.google.com/maps/search/?api=1&query_place_id=ChIP4iIYdXq8vs8ialvuJ4apG1f
B,34.24,2026-02-11,ChIE8MIxxlGJGKcdUaHiW9xNcTd,Nalu HAIR Tokyo,東京都大田区大森三丁目3-7-1 △△レジデンス,大田区,4.2,3,OPERATIONAL,https://www.google.com/maps/search/?api=1&query_place_id=ChIE8MIxxlGJGKcdUaHiW9xNcTd
B,33.31,2026-02-07,ChIPRcEtSPRVU5iFIJOYsJtNEaa,Sora Works Ebisu,東京都足立区綾瀬四丁目1-1-9 コーポさくら,足立区,4.3,10,OPERATIONAL,https://www.google.com/maps/search/?api=1&query_place_id=ChIPRcEtSPRVU5iFIJOYsJtNEaa
B,32.78,2026-02-09,ChIjBm7q1sRBLRswT6VWAL3JkqZ,moi Beauty,東京都荒川区町屋四丁目5-1-2 コーポさくら,荒川区,4.4,1,OPERATIONAL,https://www.google.com/maps/search/?api=1&query_place_id=ChIjBm7q1sRBLRswT6VWAL3JkqZ
B,32.18,2026-02-07,ChIZqGLIeU7PAQYPcwR9VTlukAQ,Rosa Studio Shibuya,東京都渋谷区原宿四丁目3-7-1 〇〇ビル,渋谷区,4.5,3,OPERATIONAL,https://www.google.com/maps/search/?api=1&query_place_id=ChIZqGLIeU7PAQYPcwR9VTlukAQ
B,30.64,2026-02-09,ChIpQveNM0iR7jsRIGnvlPPDq5h,Aile Atelier,東京都目黒区学芸大学3-7-1 サンライトビル,目黒区,4.3,0,OPERATIONAL,https://www.google.com/maps/search/?api=1&query_place_id=ChIpQveNM0iR7jsRIGnvlPPDq5h
B,29.71,2026-02-07,ChI9WZgDrTQ0LB8Z2cjvjPGdGzy,Rin HAIR,東京都大田区蒲田5-1-2 △△レジデンス,大田区,4.3,4,OPERATIONAL,https://www.google.com/maps/search/?api=1&query_place_id=ChI9WZgDrTQ0LB8Z2cjvjPGdGzy
B,29.32,2026-02-04,ChI12E80qDwAaI1oOEtJANgdXDn,Rosa Works Omotesando,東京都荒川区町屋4-2-6 〇〇ビル,荒川区,4.6,4,OPERATIONAL,https://www.google.com/maps/search/?api=1&query_place_id=ChI12E80qDwAaI1oOEtJANgdXDn
B,25.95,2026-02-09,ChINbc4OaV0dZauGUbUqQX9Jr7e,moi HAIR Tokyo,東京都足立区西新井四丁目5-1-2 ルミエール,足立区,3.8,5,OPERATIONAL,https://www.google.com/maps/search/?api=1&query_place_id=ChINbc4OaV0dZauGUbUqQX9Jr7e
B,25.69,2026-02-07,ChIw0t0Z7ETKkPk12Yr5iVYwvIy,Mimi HAIR Kichijoji,東京都大田区蒲田一丁目4-2-6 △△レジデンス,大田区,4.0,5,OPERATIONAL,https://www.google.com/maps/search/?api=1&query_place_id=ChIw0t0Z7ETKkPk12Yr5iVYwvIy
B,24.29,2026-02-04,ChIxIwQSUHAfvbLIYitOgj1qzWE,Nico Salon Ebisu,東京都中央区銀座一丁目3-7-1 △△レジデンス,中央区,4.0,11,OPERATIONAL,https://www.google.com/maps/search/?api=1&query_place_id=ChIxIwQSUHAfvbLIYitOgj1qzWE
B,24.1,2026-02-06,ChIYjeDoAsKFf2bpyVk2G5h6CON,Mimi Works Kagurazaka,東京都足立区北千住1-1-9 サンライトビル,足立区,4.2,0,OPERATIONAL,https://www.google.com/maps/search/?api=1&query_place_id=ChIYjeDoAsKFf2bpyVk2G5h6CON
B,22.24,2026-02-02,ChIPdXlfxxMu5iwyPJA7aBOiWo1,Mimi Salon Kichijoji,東京都目黒区学芸大学二丁目5-1-2 グリーンハイツ,目黒区,4.2,8,OPERATIONAL,https://www.google.com/maps/search/?api=1&query_place_id=ChIPdXlfxxMu5iwyPJA7aBOiWo1
B,20.91,2026-02-01,ChIK374RFpXQFXq5pKDZoTuswOb,Rosa HAIR Tokyo,東京都中野区中野一丁目5-1-2 □□タワー,中野区,4.3,6,OPERATIONAL,https://www.google.com/maps/search/?api=1&query_place_id=ChIK374RFpXQFXq5pKDZoTuswOb
B,20.9,2026-02-03,ChIlmCnFaqlkhU7QNqtUPQZIqpT,Kuu Studio Tokyo,東京都江東区門前仲町4-2-6 △△レジデンス,江東区,4.2,3,OPERATIONAL,https://www.google.com/maps/search/?api=1&query_place_id=ChIlmCnFaqlkhU7QNqtUPQZIqpT
C,49.16,2026-02-18,ChI9QCGmbWuyUbmgHY5kMQCtbAh,Haru Atelier Kichijoji,東京都千代田区神田二丁目2-5-8 グリーンハイツ,千代田区,4.1,11,CLOSED_TEMPORARILY,https://www.google.com/maps/search/?api=1&query_place_id=ChI9QCGmbWuyUbmgHY5kMQCtbAh
C,48.33,2026-02-27,ChIQ562DFob1RCAVxIoQKvcjtbj,Lumi HAIR Tokyo,東京都大田区蒲田二丁目4-2-6 サンライトビル,大田区,,0,OPERATIONAL,https://www.google.com/maps/search/?api=1&query_place_id=ChIQ562DFob1RCAVxIoQKvcjtbj
C,47.01,2026-02-24,ChIMw9SUSpD6xFpkOivu27C66La,Rin Salon Ebisu,東京都台東区浅草三丁目1-1-9 コーポさくら,台東区,3.7,1,OPERATIONAL,https://www.google.com/maps/search/?api=1&query_place_id=ChIMw9SUSpD6xFpkOivu27C66La
C,46.67,2026-02-26,ChIpaOUPa6uUR0EkXHgr5DLOzhC,Nico HAIR Omotesando,東京都台東区上野四丁目5-1-2 コーポさくら,台東区,,0,OPERATIONAL,https://www.google.com/maps/search/?api=1&query_place_id=ChIpaOUPa6uUR0EkXHgr5DLOzhC
C,45.0,2026-02-25,ChITwY2591aivvizm5OfORbfBYV,Rosa Lounge Ginza,東京都千代田区麹町三丁目1-2-3 □□タワー,千代田区,,0,OPERATIONAL,https://www.google.com/maps/search/?api=1&query_place_id=ChITwY2591aivvizm5OfORbfBYV
