priority,score,detected_first,place_id,name,formatted_address,ward,rating,user_rating_count,phone,website,business_status,google_maps_uri
C,51.2,2026-03-01,ChIJVVVVVdJhGGARevAH160vMCI,リクープ,〒140-0013 東京都品川区南大井５丁目２６−１８,品川区,3.5,2,,"=HYPERLINK(""https://beauty.hotpepper.jp/slnH000409717/"",""サイトへ"")",OPERATIONAL,"=HYPERLINK(""https://maps.google.com/?cid=2463521419855130746&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA"",""Google Mapへ"")"
C,51.2,2026-03-01,ChIJx-IT2zCSGGARG-gZUFdg0dg,CHERRY BOMB,〒123-0864 東京都足立区鹿浜６丁目１７−１８,足立区,3.0,2,,,OPERATIONAL,"=HYPERLINK(""https://maps.google.com/?cid=15623374510447257627&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA"",""Google Mapへ"")"
C,50.0,2026-03-01,ChIJ-xS7-LJhGGARU5JeSgd3TvE,KeI,〒143-0012 東京都大田区大森東２丁目１−１１ 塚本ビル,大田区,,,,,OPERATIONAL,"=HYPERLINK(""https://maps.google.com/?cid=17387966084520251987&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA"",""Google Mapへ"")"
C,50.0,2026-03-01,ChIJBwNu-LRhGGARKlDhdrqeM8c,山野愛子美容分室,〒143-0016 東京都大田区大森北６丁目１３−１０ 島田ビル,大田区,,,,,OPERATIONAL,"=HYPERLINK(""https://maps.google.com/?cid=14353990961055485994&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA"",""Google Mapへ"")"
C,50.0,2026-03-01,ChIJF8iWkuXtGGARn8FZPmPvpVI,ノンノ,〒167-0033 東京都杉並区清水２丁目１−７,杉並区,,,03-3395-9693,,OPERATIONAL,"=HYPERLINK(""https://maps.google.com/?cid=5955429291794219423&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA"",""Google Mapへ"")"
C,50.0,2026-03-01,ChIJFR7UemlhGGARMLTddtStIBA,ヘアーメイク パウダー（Hair Make Powder）,〒143-0011 東京都大田区大森本町２丁目３２−２ 市川ビル,大田区,,,03-5493-3039,,OPERATIONAL,"=HYPERLINK(""https://maps.google.com/?cid=1162119831900501040&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA"",""Google Mapへ"")"
C,50.0,2026-03-01,ChIJJTSx_LRhGGARpmiaauWhoMg,美容室サンビ,〒143-0016 東京都大田区大森北６丁目２６−１１,大田区,,,,,OPERATIONAL,"=HYPERLINK(""https://maps.google.com/?cid=14456732810567379110&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA"",""Google Mapへ"")"
C,50.0,2026-03-01,ChIJM7MXr1KPGGAR5H961Umcm2w,くらしとHAKO,〒124-0005 東京都葛飾区宝町２丁目３６−２,葛飾区,,,03-5654-6101,"=HYPERLINK(""https://reservia.jp/shop/reserve/ea0c67c402"",""サイトへ"")",OPERATIONAL,"=HYPERLINK(""https://maps.google.com/?cid=7826020618414489572&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA"",""Google Mapへ"")"
C,50.0,2026-03-01,ChIJSXTOQtJhGGARZsnEK84fY-8,Hair Salon Paz,日本、〒140-0013 東京都品川区南大井３丁目５,品川区,,,,,OPERATIONAL,"=HYPERLINK(""https://maps.google.com/?cid=17249665968117172582&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA"",""Google Mapへ"")"
C,50.0,2026-03-01,ChIJXU0VJcxhGGARTPuo0cgJjmA,パピエ,〒140-0013 東京都品川区南大井２丁目１２−５ 大森海岸ハウス 1103,品川区,,,03-3768-5755,,OPERATIONAL,"=HYPERLINK(""https://maps.google.com/?cid=6957509232449616716&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA"",""Google Mapへ"")"
C,50.0,2026-03-01,ChIJjSMXpxyHGGARW-dN0MJNdw0,hair salon multipurpose,〒134-0083 東京都江戸川区中葛西８丁目２１−１８ 1F A区画,江戸川区,,,03-6240-5983,"=HYPERLINK(""https://beauty.hotpepper.jp/slnH000794139/"",""サイトへ"")",OPERATIONAL,"=HYPERLINK(""https://maps.google.com/?cid=970329743835391835&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA"",""Google Mapへ"")"
C,50.0,2026-03-01,ChIJs59lRgBhGGARABC-NCbgvs4,poco a poco,〒143-0015 東京都大田区大森西２丁目２９−１４,大田区,,,,,OPERATIONAL,"=HYPERLINK(""https://maps.google.com/?cid=14897591072086429696&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA"",""Google Mapへ"")"
C,50.0,2026-03-01,ChIJw2VJX0NfGGARLzKFUgmg2Sc,サロンドマダム,〒223-0065 神奈川県横浜市港北区高田東４丁目１−２２,,,,045-547-1579,,OPERATIONAL,"=HYPERLINK(""https://maps.google.com/?cid=2871502199325012527&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA"",""Google Mapへ"")"
